     0.230 D | [Theme] Theme Folder Path:  "/home/chaos/.local/share/PrismLauncher/themes"
     0.230 D | [Theme] <> Widget themes initialized.
     0.230 D | [Theme] CatPacks Folder Path: "/home/chaos/.local/share/PrismLauncher/catpacks"
     0.259 D | Setting Icons
     0.259 D | Setting Cat
     0.259 D | [Theme] applying catpack "kitteh"
     1.592 D | Got translations index!
     1.597 W | QAbstractItemModel::endInsertRows:  Invalid index ( 89 , 0 ) in model TranslationsModel(0x5555b1e07bc0)
     1.597 W | QAbstractItemModel::endInsertRows:  Invalid index ( 89 , 1 ) in model TranslationsModel(0x5555b1e07bc0)
     1.640 I | [qt.text.font.db]: OpenType support missing for "DejaVu Sans", script 32
     1.641 I | [qt.text.font.db]: OpenType support missing for "Unifont", script 32
     1.642 I | [qt.text.font.db]: OpenType support missing for "FreeSans", script 32
     1.643 I | [qt.text.font.db]: OpenType support missing for "FreeMono", script 32
     1.644 I | [qt.text.font.db]: OpenType support missing for "FreeSerif", script 32
     1.646 I | [qt.text.font.db]: OpenType support missing for "FiraCode Nerd Font", script 32
     1.647 I | [qt.text.font.db]: OpenType support missing for "FiraCode Nerd Font Mono", script 32
     1.649 I | [qt.text.font.db]: OpenType support missing for "FiraCode Nerd Font Propo", script 32
     1.651 I | [qt.text.font.db]: OpenType support missing for "DejaVu Math TeX Gyre", script 32
     1.652 I | [qt.text.font.db]: OpenType support missing for "DejaVu Sans Mono", script 32
     1.653 I | [qt.text.font.db]: OpenType support missing for "DejaVu Serif", script 32
     1.653 I | [qt.text.font.db]: OpenType support missing for "JetBrainsMonoNL Nerd Font", script 32
     1.654 I | [qt.text.font.db]: OpenType support missing for "JetBrainsMonoNL Nerd Font Mono", script 32
     1.655 I | [qt.text.font.db]: OpenType support missing for "JetBrainsMonoNL Nerd Font Propo", script 32
     1.656 I | [qt.text.font.db]: OpenType support missing for "JetBrainsMono Nerd Font", script 32
     1.656 I | [qt.text.font.db]: OpenType support missing for "JetBrainsMono Nerd Font Mono", script 32
     1.657 I | [qt.text.font.db]: OpenType support missing for "JetBrainsMono Nerd Font Propo", script 32
     1.658 I | [qt.text.font.db]: OpenType support missing for "Liberation Mono", script 32
     1.659 I | [qt.text.font.db]: OpenType support missing for "Liberation Sans", script 32
     1.660 I | [qt.text.font.db]: OpenType support missing for "Liberation Serif", script 32
     1.661 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Schola", script 32
     1.661 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Bonum", script 32
     1.662 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Cursor", script 32
     1.663 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Heros", script 32
     1.664 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Pagella", script 32
     1.665 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Termes", script 32
     1.666 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Adventor", script 32
     1.666 I | [qt.text.font.db]: OpenType support missing for "Fantasque Sans Mono", script 32
     1.667 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Heros Cn", script 32
     1.670 I | [qt.text.font.db]: OpenType support missing for "TeX Gyre Chorus", script 32
     1.671 I | [qt.text.font.db]: OpenType support missing for "Noto Color Emoji", script 32
     1.671 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.672 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.672 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.673 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.673 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.674 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.674 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.675 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.675 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.676 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.677 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.677 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.677 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.678 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.678 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.679 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.680 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.681 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.682 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.682 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.682 I | [qt.text.font.db]: OpenType support missing for "", script 32
     1.691 I | [qt.text.font.db]: OpenType support missing for "DejaVu Sans", script 16
     1.694 I | [qt.text.font.db]: OpenType support missing for "DejaVu Sans", script 12
     1.697 I | [qt.text.font.db]: OpenType support missing for "DejaVu Sans", script 11
     1.705 W | Cannot update builtin language "en_US"
     1.705 D | Dir changed: "/home/chaos/.local/share/PrismLauncher/translations"
     3.935 W | beginResetModel called on VersionProxyModel(0x5555b1e6d1a0) without calling endResetModel first
     3.935 W | endResetModel called on VersionProxyModel(0x5555b1e6d1a0) without calling beginResetModel first
     3.936 D | Probing the following Java paths: 
     3.992 W | Entry "" could not be stripped from variable "LD_LIBRARY_PATH"
     3.993 D | Env: stripped "LD_LIBRARY_PATH" "/run/opengl-driver/lib:/nix/store/zmjqwzhgl9hwr8xnk8raj8d50lzkql66-gcc-14.3.0-lib/lib:/nix/store/pi4x21ykq2sp2kn7d6ag1qcq2r9vh9ld-glfw-minecraft-3.4/lib:/nix/store/8yjqk1m8mcsy1fb4sy5wcl44bgq0fmgy-openal-soft-1.24.3/lib:/nix/store/jkr9d5sqkvxyb9nm4n704gjdwkc9cd42-alsa-lib-1.2.14/lib:/nix/store/rymaz3kix2642nb8rl23wk8n0lmcdqkh-libjack2-1.9.22/lib:/nix/store/257525xb5cvv0s718836wql5b2f9vwpb-libpulseaudio-17.0/lib:/nix/store/8d6yp75zdr5zqfb71k84fq7dczwpkf41-pipewire-1.4.9/lib:/nix/store/v0dmz23d6lnzwcrps1sky0q4f0vy6yph-libglvnd-1.7.0/lib:/nix/store/d8ichf2lplx593rnnjlf9i0yimmxr244-libx11-1.8.12/lib:/nix/store/z31661zix58xdmbyrr339msiia1pf3c4-libxcursor-1.2.3/lib:/nix/store/9lhnj4w8lvj3mmlif5yv6xv5d1cb35gg-libxext-1.3.6/lib:/nix/store/z1if2zpg430a41v9jci6z5lpjgskil1g-libxrandr-1.5.4/lib:/nix/store/548chq703v1mya48mh26xylgqb9m3i87-libxxf86vm-1.1.6/lib:/nix/store/k31ib8a2xkhv19d404khgk589kgdiv8f-systemd-minimal-libs-258/lib:/nix/store/z035pkccpi5jv3qdkwsa8h5y0p86ma0w-vulkan-loader-1.4.328.0/lib:/nix/store/jyr6zm92a2hb3mhpr6ld9jqjcgkc5sn9-flite-2.2-lib/lib:/nix/store/asa1kz0xh327z9mnkf0v39j9winbb5cy-gamemode-1.8.2-lib/lib:/nix/store/1g17jf34jnrf4zm3vfcvc2maj9m8nx3d-libusb-1.0.29/lib" to "/run/opengl-driver/lib:/nix/store/zmjqwzhgl9hwr8xnk8raj8d50lzkql66-gcc-14.3.0-lib/lib:/nix/store/pi4x21ykq2sp2kn7d6ag1qcq2r9vh9ld-glfw-minecraft-3.4/lib:/nix/store/8yjqk1m8mcsy1fb4sy5wcl44bgq0fmgy-openal-soft-1.24.3/lib:/nix/store/jkr9d5sqkvxyb9nm4n704gjdwkc9cd42-alsa-lib-1.2.14/lib:/nix/store/rymaz3kix2642nb8rl23wk8n0lmcdqkh-libjack2-1.9.22/lib:/nix/store/257525xb5cvv0s718836wql5b2f9vwpb-libpulseaudio-17.0/lib:/nix/store/8d6yp75zdr5zqfb71k84fq7dczwpkf41-pipewire-1.4.9/lib:/nix/store/v0dmz23d6lnzwcrps1sky0q4f0vy6yph-libglvnd-1.7.0/lib:/nix/store/d8ichf2lplx593rnnjlf9i0yimmxr244-libx11-1.8.12/lib:/nix/store/z31661zix58xdmbyrr339msiia1pf3c4-libxcursor-1.2.3/lib:/nix/store/9lhnj4w8lvj3mmlif5yv6xv5d1cb35gg-libxext-1.3.6/lib:/nix/store/z1if2zpg430a41v9jci6z5lpjgskil1g-libxrandr-1.5.4/lib:/nix/store/548chq703v1mya48mh26xylgqb9m3i87-libxxf86vm-1.1.6/lib:/nix/store/k31ib8a2xkhv19d404khgk589kgdiv8f-systemd-minimal-libs-258/lib:/nix/store/z035pkccpi5jv3qdkwsa8h5y0p86ma0w-vulkan-loader-1.4.328.0/lib:/nix/store/jyr6zm92a2hb3mhpr6ld9jqjcgkc5sn9-flite-2.2-lib/lib:/nix/store/asa1kz0xh327z9mnkf0v39j9winbb5cy-gamemode-1.8.2-lib/lib:/nix/store/1g17jf34jnrf4zm3vfcvc2maj9m8nx3d-libusb-1.0.29/lib"
     3.993 W | Entry "" could not be stripped from variable "QT_PLUGIN_PATH"
     3.993 D | Env: stripped "QT_PLUGIN_PATH" "/nix/store/9a63r7wm744vp4hylxqc4431rbhjw3dr-qtwayland-6.10.0/lib/qt-6/plugins:/nix/store/ncpal3v5rzw6snnzq3bh8bdqzhn2c28c-qtdeclarative-6.10.0/lib/qt-6/plugins:/nix/store/2862y52k6j0436yx30y81qf19f56y2vd-qtsvg-6.10.0/lib/qt-6/plugins:/nix/store/035nwyn9za836bmcy0yzj4ys0nwry9dj-qtbase-6.10.0/lib/qt-6/plugins:/nix/store/q5k1icwwdwchmi7gd8w6q6zqxrilnmp6-qtwayland-6.10.0-only-plugins-qml/lib/qt-6/plugins:/nix/store/kf7f10aw4mv2ma0f9wcipmg770xdjqxm-qtbase-6.10.0-only-plugins-qml/lib/qt-6/plugins" to "/nix/store/9a63r7wm744vp4hylxqc4431rbhjw3dr-qtwayland-6.10.0/lib/qt-6/plugins:/nix/store/ncpal3v5rzw6snnzq3bh8bdqzhn2c28c-qtdeclarative-6.10.0/lib/qt-6/plugins:/nix/store/2862y52k6j0436yx30y81qf19f56y2vd-qtsvg-6.10.0/lib/qt-6/plugins:/nix/store/035nwyn9za836bmcy0yzj4ys0nwry9dj-qtbase-6.10.0/lib/qt-6/plugins:/nix/store/q5k1icwwdwchmi7gd8w6q6zqxrilnmp6-qtwayland-6.10.0-only-plugins-qml/lib/qt-6/plugins:/nix/store/kf7f10aw4mv2ma0f9wcipmg770xdjqxm-qtbase-6.10.0-only-plugins-qml/lib/qt-6/plugins"
     3.993 D | Running java checker: "java" "-jar /nix/store/d2clqcfbhm3cn4nkpz0a7mjhs7li15a4-prismlauncher-unwrapped-9.4/share/PrismLauncher/JavaCheck.jar"
     3.994 W | Entry "" could not be stripped from variable "LD_LIBRARY_PATH"
     3.994 D | Env: stripped "LD_LIBRARY_PATH" "/run/opengl-driver/lib:/nix/store/zmjqwzhgl9hwr8xnk8raj8d50lzkql66-gcc-14.3.0-lib/lib:/nix/store/pi4x21ykq2sp2kn7d6ag1qcq2r9vh9ld-glfw-minecraft-3.4/lib:/nix/store/8yjqk1m8mcsy1fb4sy5wcl44bgq0fmgy-openal-soft-1.24.3/lib:/nix/store/jkr9d5sqkvxyb9nm4n704gjdwkc9cd42-alsa-lib-1.2.14/lib:/nix/store/rymaz3kix2642nb8rl23wk8n0lmcdqkh-libjack2-1.9.22/lib:/nix/store/257525xb5cvv0s718836wql5b2f9vwpb-libpulseaudio-17.0/lib:/nix/store/8d6yp75zdr5zqfb71k84fq7dczwpkf41-pipewire-1.4.9/lib:/nix/store/v0dmz23d6lnzwcrps1sky0q4f0vy6yph-libglvnd-1.7.0/lib:/nix/store/d8ichf2lplx593rnnjlf9i0yimmxr244-libx11-1.8.12/lib:/nix/store/z31661zix58xdmbyrr339msiia1pf3c4-libxcursor-1.2.3/lib:/nix/store/9lhnj4w8lvj3mmlif5yv6xv5d1cb35gg-libxext-1.3.6/lib:/nix/store/z1if2zpg430a41v9jci6z5lpjgskil1g-libxrandr-1.5.4/lib:/nix/store/548chq703v1mya48mh26xylgqb9m3i87-libxxf86vm-1.1.6/lib:/nix/store/k31ib8a2xkhv19d404khgk589kgdiv8f-systemd-minimal-libs-258/lib:/nix/store/z035pkccpi5jv3qdkwsa8h5y0p86ma0w-vulkan-loader-1.4.328.0/lib:/nix/store/jyr6zm92a2hb3mhpr6ld9jqjcgkc5sn9-flite-2.2-lib/lib:/nix/store/asa1kz0xh327z9mnkf0v39j9winbb5cy-gamemode-1.8.2-lib/lib:/nix/store/1g17jf34jnrf4zm3vfcvc2maj9m8nx3d-libusb-1.0.29/lib" to "/run/opengl-driver/lib:/nix/store/zmjqwzhgl9hwr8xnk8raj8d50lzkql66-gcc-14.3.0-lib/lib:/nix/store/pi4x21ykq2sp2kn7d6ag1qcq2r9vh9ld-glfw-minecraft-3.4/lib:/nix/store/8yjqk1m8mcsy1fb4sy5wcl44bgq0fmgy-openal-soft-1.24.3/lib:/nix/store/jkr9d5sqkvxyb9nm4n704gjdwkc9cd42-alsa-lib-1.2.14/lib:/nix/store/rymaz3kix2642nb8rl23wk8n0lmcdqkh-libjack2-1.9.22/lib:/nix/store/257525xb5cvv0s718836wql5b2f9vwpb-libpulseaudio-17.0/lib:/nix/store/8d6yp75zdr5zqfb71k84fq7dczwpkf41-pipewire-1.4.9/lib:/nix/store/v0dmz23d6lnzwcrps1sky0q4f0vy6yph-libglvnd-1.7.0/lib:/nix/store/d8ichf2lplx593rnnjlf9i0yimmxr244-libx11-1.8.12/lib:/nix/store/z31661zix58xdmbyrr339msiia1pf3c4-libxcursor-1.2.3/lib:/nix/store/9lhnj4w8lvj3mmlif5yv6xv5d1cb35gg-libxext-1.3.6/lib:/nix/store/z1if2zpg430a41v9jci6z5lpjgskil1g-libxrandr-1.5.4/lib:/nix/store/548chq703v1mya48mh26xylgqb9m3i87-libxxf86vm-1.1.6/lib:/nix/store/k31ib8a2xkhv19d404khgk589kgdiv8f-systemd-minimal-libs-258/lib:/nix/store/z035pkccpi5jv3qdkwsa8h5y0p86ma0w-vulkan-loader-1.4.328.0/lib:/nix/store/jyr6zm92a2hb3mhpr6ld9jqjcgkc5sn9-flite-2.2-lib/lib:/nix/store/asa1kz0xh327z9mnkf0v39j9winbb5cy-gamemode-1.8.2-lib/lib:/nix/store/1g17jf34jnrf4zm3vfcvc2maj9m8nx3d-libusb-1.0.29/lib"
     3.994 W | Entry "" could not be stripped from variable "QT_PLUGIN_PATH"
     3.994 D | Env: stripped "QT_PLUGIN_PATH" "/nix/store/9a63r7wm744vp4hylxqc4431rbhjw3dr-qtwayland-6.10.0/lib/qt-6/plugins:/nix/store/ncpal3v5rzw6snnzq3bh8bdqzhn2c28c-qtdeclarative-6.10.0/lib/qt-6/plugins:/nix/store/2862y52k6j0436yx30y81qf19f56y2vd-qtsvg-6.10.0/lib/qt-6/plugins:/nix/store/035nwyn9za836bmcy0yzj4ys0nwry9dj-qtbase-6.10.0/lib/qt-6/plugins:/nix/store/q5k1icwwdwchmi7gd8w6q6zqxrilnmp6-qtwayland-6.10.0-only-plugins-qml/lib/qt-6/plugins:/nix/store/kf7f10aw4mv2ma0f9wcipmg770xdjqxm-qtbase-6.10.0-only-plugins-qml/lib/qt-6/plugins" to "/nix/store/9a63r7wm744vp4hylxqc4431rbhjw3dr-qtwayland-6.10.0/lib/qt-6/plugins:/nix/store/ncpal3v5rzw6snnzq3bh8bdqzhn2c28c-qtdeclarative-6.10.0/lib/qt-6/plugins:/nix/store/2862y52k6j0436yx30y81qf19f56y2vd-qtsvg-6.10.0/lib/qt-6/plugins:/nix/store/035nwyn9za836bmcy0yzj4ys0nwry9dj-qtbase-6.10.0/lib/qt-6/plugins:/nix/store/q5k1icwwdwchmi7gd8w6q6zqxrilnmp6-qtwayland-6.10.0-only-plugins-qml/lib/qt-6/plugins:/nix/store/kf7f10aw4mv2ma0f9wcipmg770xdjqxm-qtbase-6.10.0-only-plugins-qml/lib/qt-6/plugins"
     3.994 D | Running java checker: "/nix/store/gxjm3qjq9kyvi5hv7r4s8ngbkg1d94df-openjdk-21.0.9+8/bin/java" "-jar /nix/store/d2clqcfbhm3cn4nkpz0a7mjhs7li15a4-prismlauncher-unwrapped-9.4/share/PrismLauncher/JavaCheck.jar"
     3.995 W | Entry "" could not be stripped from variable "LD_LIBRARY_PATH"
     3.995 D | Env: stripped "LD_LIBRARY_PATH" "/run/opengl-driver/lib:/nix/store/zmjqwzhgl9hwr8xnk8raj8d50lzkql66-gcc-14.3.0-lib/lib:/nix/store/pi4x21ykq2sp2kn7d6ag1qcq2r9vh9ld-glfw-minecraft-3.4/lib:/nix/store/8yjqk1m8mcsy1fb4sy5wcl44bgq0fmgy-openal-soft-1.24.3/lib:/nix/store/jkr9d5sqkvxyb9nm4n704gjdwkc9cd42-alsa-lib-1.2.14/lib:/nix/store/rymaz3kix2642nb8rl23wk8n0lmcdqkh-libjack2-1.9.22/lib:/nix/store/257525xb5cvv0s718836wql5b2f9vwpb-libpulseaudio-17.0/lib:/nix/store/8d6yp75zdr5zqfb71k84fq7dczwpkf41-pipewire-1.4.9/lib:/nix/store/v0dmz23d6lnzwcrps1sky0q4f0vy6yph-libglvnd-1.7.0/lib:/nix/store/d8ichf2lplx593rnnjlf9i0yimmxr244-libx11-1.8.12/lib:/nix/store/z31661zix58xdmbyrr339msiia1pf3c4-libxcursor-1.2.3/lib:/nix/store/9lhnj4w8lvj3mmlif5yv6xv5d1cb35gg-libxext-1.3.6/lib:/nix/store/z1if2zpg430a41v9jci6z5lpjgskil1g-libxrandr-1.5.4/lib:/nix/store/548chq703v1mya48mh26xylgqb9m3i87-libxxf86vm-1.1.6/lib:/nix/store/k31ib8a2xkhv19d404khgk589kgdiv8f-systemd-minimal-libs-258/lib:/nix/store/z035pkccpi5jv3qdkwsa8h5y0p86ma0w-vulkan-loader-1.4.328.0/lib:/nix/store/jyr6zm92a2hb3mhpr6ld9jqjcgkc5sn9-flite-2.2-lib/lib:/nix/store/asa1kz0xh327z9mnkf0v39j9winbb5cy-gamemode-1.8.2-lib/lib:/nix/store/1g17jf34jnrf4zm3vfcvc2maj9m8nx3d-libusb-1.0.29/lib" to "/run/opengl-driver/lib:/nix/store/zmjqwzhgl9hwr8xnk8raj8d50lzkql66-gcc-14.3.0-lib/lib:/nix/store/pi4x21ykq2sp2kn7d6ag1qcq2r9vh9ld-glfw-minecraft-3.4/lib:/nix/store/8yjqk1m8mcsy1fb4sy5wcl44bgq0fmgy-openal-soft-1.24.3/lib:/nix/store/jkr9d5sqkvxyb9nm4n704gjdwkc9cd42-alsa-lib-1.2.14/lib:/nix/store/rymaz3kix2642nb8rl23wk8n0lmcdqkh-libjack2-1.9.22/lib:/nix/store/257525xb5cvv0s718836wql5b2f9vwpb-libpulseaudio-17.0/lib:/nix/store/8d6yp75zdr5zqfb71k84fq7dczwpkf41-pipewire-1.4.9/lib:/nix/store/v0dmz23d6lnzwcrps1sky0q4f0vy6yph-libglvnd-1.7.0/lib:/nix/store/d8ichf2lplx593rnnjlf9i0yimmxr244-libx11-1.8.12/lib:/nix/store/z31661zix58xdmbyrr339msiia1pf3c4-libxcursor-1.2.3/lib:/nix/store/9lhnj4w8lvj3mmlif5yv6xv5d1cb35gg-libxext-1.3.6/lib:/nix/store/z1if2zpg430a41v9jci6z5lpjgskil1g-libxrandr-1.5.4/lib:/nix/store/548chq703v1mya48mh26xylgqb9m3i87-libxxf86vm-1.1.6/lib:/nix/store/k31ib8a2xkhv19d404khgk589kgdiv8f-systemd-minimal-libs-258/lib:/nix/store/z035pkccpi5jv3qdkwsa8h5y0p86ma0w-vulkan-loader-1.4.328.0/lib:/nix/store/jyr6zm92a2hb3mhpr6ld9jqjcgkc5sn9-flite-2.2-lib/lib:/nix/store/asa1kz0xh327z9mnkf0v39j9winbb5cy-gamemode-1.8.2-lib/lib:/nix/store/1g17jf34jnrf4zm3vfcvc2maj9m8nx3d-libusb-1.0.29/lib"
     3.995 W | Entry "" could not be stripped from variable "QT_PLUGIN_PATH"
